UniqueCount	AmbigCount
1705	106
5604	242
578	69
4322	274
3243	173
3454	160
417	14
4598	165
36	1
181	1
55	1
502	23
3248	131
6784	317
829	36
2086	72
1409	37
1108	50
2493	98
1339	39
1043	41
906	54
29	2
0	0
0	0
0	4
54	434
0	0
0	0
0	0
0	0
0	0
0	0
86	0
45	0
93	1
2	0
549	20
0	0
0	0
5	1
329	24
3	0
60	5
0	428
0	0
1	0
0	8405
4	0
0	0
0	0
0	0
0	0
25	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	783
0	0
0	0
0	0
0	0
0	52
0	0
0	0
3	740
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
71	783
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
34	1
60	91
482	27
314	20
31	1
230	10
197	7
6	0
95	6
6801	295
64	2
0	0
0	0
40	0
7	1
0	0
37	1
12	0
2	0
37	0
28	0
1037	27
43	0
1568	94
685	52
895	27
209	12
17	0
3	0
62	2
213	8
743	16
45	2
1330	70
158	3
242	9
57	1
19	2
2	0
18	1
269	8
104	2
196	2
417	7
4	0
96	3
112	0
651	41
17345	838
1597	92
98	91
1	0
20	0
53	5
240	19
157	11
371	30
594	32
203	10
3	0
297384	8243
9	0
127	7
236	15
226	9
110	3
30	0
59	7
56	0
1	0
42	1
31	0
10	0
123	9
984	38
760	42
281	10
8000	454
61	2
3	0
6	0
14	0
19	0
24	2
9	0
19	0
18	0
12	0
52	0
0	0
0	0
4169	207
1532	69
1165	54
292	18
378	21
16	0
37	2
18	0
49	1
25	2
71	6
62	4
97	1
410	17
801	37
633	37
96	1
34	2
282	5
135	13
48491	3329
32775	2026
31463	1530
13590	457
500	21
80	3
67	6
0	0
100	6
1516	91
425	26
237	13
1058	53
3895	217
584	34
713	42
135	11
712	37
79	5
65	4
95	7
140	8
3	28
1589	106
243	7
56	5
195	14
118	2
800	36
15088	831
22744	1192
40	3
3113	207
108	7
54	2
31	1
10	1
67	5
19	1
13	0
37	2
48	7
83	7
163	6
336	19
0	7989
428	15
65529	2984
58364	845
75127	3214
169310	7342
2099	128
1203	75
11830	645
568	51
1297	119
393	44
1192	100
1052	73
667	53
108	7
60	2
1453	82
5787	329
4783	213
5557	326
3475	197
776	38
25643	1239
27516	1381
1527	91
6691	209
5526	308
35886	1960
60756	3355
304	15
212	9
485	27
0	0
14	0
2095	127
30	0
40	0
58	6
1917	130
982	59
502	26
579	33
172	11
74	1
374	35
630	24
1241	50
451	22
28	1
97	7
1408	93
953	74
315	33
589	41
6022	544
7606	389
63	4
52	3
54	5
6	3
4	0
45302	933
2572	131
65	2
349	22
273	24
294	23
1958	83
2	1
291	24
472	30
6597	345
2208	197
2117	185
1687	104
1338	78
1278	80
270	23
2754	159
352	11
27686	1607
458	26
1507	92
222	16
255	21
120	10
380	24
423	27
2649	140
160	7
354	32
2315	143
103	4
114	6
240	15
156	11
420	23
634	21
48649	2680
539	28
7259	414
6872	284
40	3
1265	35
7	2
17	3
3493	175
426	53
592	58
1945	145
96	26
368	45
395	39
10311	557
156	6
142	11
308	14
1832	111
92	5
402	22
632	25
977	56
820	49
1046	66
228	9
9843	426
415	28
117	4
1084	47
3043	154
2131	132
914	37
1204	56
612	35
416	44
468	34
189	14
505	27
974	63
1164	64
1074	41
1834	104
786	50
134	12
918	53
603	25
1090	43
64651	3401
74	69
3196	156
1726	103
2270	150
1053	78
364	20
1962	78
2510	131
583	25
1036	29
1223	55
9316	251
4	0
920	53
439	21
754	51
5936	324
436	29
13	5
1256	67
810	25
98	2
9	4
15	4
509	25
283	16
160	10
1612	83
1654	89
3502	219
698	28
4216	164
951	53
2190	123
665	37
604	60
54	27
29	2
6	0
702	37
197	14
128	14
100	8
55	2
75	6
64	9
54	5
427	28
614	56
10002	544
33	5584
211	11
1676	74
1317	55
401	22
1200	83
284	14
433	21
331	16
2730	112
2	0
5149	245
399	37
941	58
851	48
7155	435
1246	70
2	1
141	7
48	5
57	4
100	3
307	32
2209	139
63	3
389	31
555	27
2373	118
2437	100
411	28
373	28
777	38
818	51
660	23
1367	88
247	16
98	4
44490	2248
9334	605
1297	58
96	3
412	23
113	7
1739	84
4819	216
1459	81
1047	90
864	60
653	54
4040	238
1720	109
1879	118
1267	61
17123	972
18	20
7346	470
1610	81
19	0
45789	3173
165095	8749
54941	3335
44751	2831
70895	4423
87810	5400
541	28
128	16
849	62
5424	296
1323	88
27	1
9	1
0	0
32	4
0	0
6	0
128	6
11	0
62	3
47	2
369	23
506	33
245	15
59	9
381	19
259	14
176	10
39	5
9	1
76	8
825	27
843	42
244	5
195	0
80	24
16266	865
309	15
1609	117
2598	139
942	60
1854	111
1028	74
465	43
1328	105
671	77
1128	80
2	0
673	41
297	12
2329	153
8589	513
6297	474
1437	184
6751	308
0	2
20	4
2580	138
365	30
387	24
3246	171
4403	243
525	52
62	2
1163	78
3960	186
6106	252
6	2
1716	112
1156	78
111	29
1420	87
0	7654
0	52
1820	106
46	2
737	18
205	13
482	36
9536	505
1353	81
446	11
554	31
54	1
700	76
276	59
668	68
1587	159
315	77
444	60
3027	187
275	25
696	49
1752	96
6313	353
33	48
3	36
149	6
1523	78
34	1
704	40
118	5
8681	561
325	28
256	24
915	57
1859	130
3960	220
17083	933
1128	48
1	24
2804	132
1853	118
3330	142
1843	110
629031	29674
0	9481
330	10
2114	118
4646	193
9	1
113	5
73	7
110	13
74	6
385	22
764	34
34554	2007
0	8015
7983	375
97	9
14279	702
2666	175
2948	60
447	1
143	7
870	60
1816	116
404	40
978	64
939	67
11	1
13	1
5	0
0	0
3	0
74	4
760	19
17	0
11	0
5	1
2	1
9	0
880	54
945	46
231	20
1839	71
1295	48
991	44
945	65
165	27
2047	95
12331	480
1285	79
905	57
764	46
2922	199
433	65
3325	210
1823	109
180	16
42	2
0	0
47	3
132	7
0	0
65	2
1087	52
1244	64
1831	131
2442	200
1025	60
5270	263
765	36
119	9
248	3
6019	327
196	14
740	26
1683	85
439	27
409	16
5579	650
10856	1293
40039	2523
29412	1829
1853	114
2905	135
352	21
1062	68
382	29
79	27
299	42
982	78
1265	85
502	54
214	29
1097	52
996	56
205	13
806	51
634	46
6950	422
14	1
3086	159
796	59
2819	196
19418	1838
133983	7536
26	2
1996	98
891	39
1140	54
6335	375
15	9
16234	833
842	43
32975	1885
19149	1217
24787	1204
19259	1178
1	0
65	6
159	20
263	10
535	37
1342	72
4005	219
4915	262
3532	188
3249	168
8565	464
58	8
4702	246
104	90
143	48
1128	99
3609	211
1202	58
13980	790
930	41
1434	96
632	54
1038	45
461	15
1190	64
75	7
213	13
202	9
261	11
543	25
8310	410
1097	92
69	4
339	14
763	47
2681	138
1301	46
94	17
148	19
662	39
1342	49
3821	247
3092	178
24	1
277	10
1249	115
920	66
330	26
348	29
339	20
829	34
1286	101
31	57
402	83
201	8
3048	178
3914	104
5469	381
5310	401
156	5
1936	128
268	20
1478	72
1355	62
7098	392
11234	552
770	17
2759	150
4995	252
1108	66
1311	82
6918	483
3403	154
131	8
62	3
207	18
779	58
1957	118
1208	59
5110	297
19604	1056
13836	873
10441	579
2417	201
1150	124
83	18
388	18
763	36
582	32
232	0
759	50
2487	147
153	8
268	9
792	23
775	32
831	57
433	15
1029	22
368	19
231	17
270	14
4057	122
1170	69
4830	167
2234	121
448	27
558	44
921	55
1008	62
2488	169
759	34
4220	203
1259	71
66	6
2768	138
2694	83
197	8
849	55
8206	432
261	20
66	3
450	26
280	13
1472	70
1308	77
2	0
94	4
6288	285
2934	188
1865	123
1052	81
4368	296
2836	193
14971	878
9455	605
2320	131
2818	173
562	46
540	52
4045	240
4225	255
4508	250
1297	83
6236	388
819	79
854	114
9038	441
1278	74
189	14
1316	92
2313	189
4353	251
4720	295
1112	65
367	33
262	26
735	45
219	23
1043	52
132	9
580	25
1475	18
6872	275
10929	618
263	12
356	32
1224	55
1046	63
308	19
331	18
917	54
185	11
288	8
1061	41
823	43
117	8
1282	58
3065	182
9250	500
1572	93
4155	379
1275	181
1639	86
759	43
829	40
8949	400
33176	1719
0	0
0	0
120	0
0	0
1	0
1411	34
2446	100
225	18
4059	168
15	2
30	0
54	1
114	6
205	14
142	3
8220	392
88	7
140	10
600	25
561	31
1036	76
1785	99
