UniqueCount	AmbigCount
361	1
593	2
61	12
690	17
1156	10
1365	9
159	0
828	2
8	0
10	0
8	0
570	7
733	7
3611	39
118	15
1513	12
981	4
365	23
1355	64
797	71
241	29
213	0
6	0
7	0
30	0
1	0
3	17
0	0
0	0
0	0
0	0
22	0
55	1
374	0
30	0
93	0
4	0
187	2
339	2
191	1
0	0
36	0
1	0
3	0
1	17
5	1
12	1
1	1143
0	0
2	0
1	0
13	0
6	0
5	0
1	0
3	0
56	0
390	1
0	0
12	0
10	0
1	0
0	176
603	2
13721	58
3069	12
55652	257
0	38
16	0
6	0
8	156
3246	14
33	3
73	7
213	4
182	3
780	13
621	4
17	0
39	0
13	147
0	0
24	0
36	0
3	0
10	0
28	0
10	0
0	0
6	0
15	7
230	2
99	2
10	2
237	0
75	1
0	0
7	0
61	0
2	0
1005	6
1	0
11	0
0	0
0	0
2	0
0	0
1	0
0	0
3	0
322	2
41	0
139	2
58	1
76	1
29	0
8	0
0	0
4	0
67	6
106	6
9	0
145	0
45	0
14	0
6	0
6	0
0	0
1	0
35	0
2	0
18	0
120	1
2	0
12	0
5	0
221	2
3690	18
378	2
8	7
0	0
11	0
10	0
90	0
51	2
47	0
36	0
18	0
0	0
13960	65
3	0
452	2
454	7
126	5
53	0
2	1
29	1
17	0
1	0
12	0
13	1
51	2
87	0
55	1
159	0
74	0
245	2
10	0
0	0
22	2
17	3
18	1
5	0
8	2
5	1
10	1
6	1
13	0
1	0
2	0
311	0
208	1
460	5
57	1
132	0
23	0
37	0
8	0
28	0
10	0
31	0
23	0
26	0
233	1
216	2
91	3
4	0
7	0
59	1
327	2
10559	129
10594	214
5948	170
3602	86
154	0
1	0
33	0
0	0
22	0
277	2
41	1
95	0
316	3
1573	9
76	0
163	1
54	0
436	2
40	0
35	1
75	2
55	0
0	3
142	0
822	3
7	0
151	4
50	0
521	5
2133	6
2468	9
15	0
697	1
21	0
4	0
9	0
2	0
42	0
7	1
7	1
21	1
29	2
29	2
139	0
307	8
0	1201
91	0
7466	154
11570	374
13116	274
66407	323
856	6
305	8
1585	10
188	6
353	11
119	7
719	11
309	6
48	0
15	0
2	0
400	0
3243	11
1249	3
685	5
799	12
168	0
11534	52
9907	58
167	3
1461	11
2089	13
14046	71
24845	134
41	0
52	0
120	0
2	0
2	0
921	2
8	2
12	2
10	0
857	5
496	1
144	0
98	0
27	2
41	0
96	1
166	4
234	0
34	0
1	0
25	0
369	5
484	12
78	7
117	0
624	33
1112	36
7	0
27	0
34	1
2	0
0	0
9472	11
793	2
60	0
40	1
34	4
64	2
349	1
0	0
113	8
159	9
1111	4
1222	67
924	70
613	13
447	10
516	1
69	0
462	3
35	0
1652	11
66	2
357	2
36	0
92	4
32	3
55	3
121	1
561	1
14	0
57	3
573	5
30	0
17	0
24	0
26	0
100	0
145	0
3420	14
40	0
292	4
813	2
7	0
349	1
0	0
0	0
780	4
123	3
235	6
917	24
54	12
140	15
97	13
4665	19
21	1
23	1
27	1
85	0
21	0
136	0
84	0
123	0
111	1
209	2
34	0
476	5
31	0
38	0
647	3
216	2
1101	6
204	3
155	0
86	3
57	5
101	4
65	0
62	0
72	2
233	3
180	0
526	1
185	1
12	1
437	2
146	1
55	0
9456	73
113	25
845	5
333	5
592	21
208	15
40	1
380	3
128	1
174	2
392	6
173	6
579	9
1	0
218	2
291	0
237	0
360	2
127	3
16	3
165	1
196	1
15	0
0	0
4	0
205	1
9	0
22	0
61	0
178	0
540	1
427	2
504	3
84	0
267	3
59	1
37	1
10	0
2	0
3	0
81	1
26	1
11	1
10	1
16	2
13	2
5	0
0	0
48	2
230	2
3533	13
27	886
97	0
264	1
307	1
63	2
263	2
46	0
124	0
66	0
441	4
1	0
1153	2
32	2
158	1
255	2
1017	3
53	0
2	0
57	1
41	4
29	3
62	0
37	8
867	13
2	0
21	0
8	0
699	3
650	3
144	4
77	3
27	1
115	0
136	0
254	0
77	6
28	6
3758	16
2520	15
296	2
41	3
39	0
17	0
654	4
1521	7
271	1
320	8
176	18
68	12
1721	16
300	7
723	6
211	0
2352	13
27	19
2537	31
535	0
0	0
16315	595
32379	671
9079	96
8751	314
16435	365
18707	158
55	1
42	1
368	3
1827	11
403	6
2	0
0	0
0	0
3	0
0	0
0	0
23	0
1	0
10	0
20	0
35	0
79	0
12	0
2	0
51	0
13	0
48	0
6	0
14	0
8	0
24	0
162	0
8	0
23	0
1	2
2131	10
76	1
351	3
308	1
69	1
401	3
118	8
20	7
196	5
267	9
165	3
0	0
35	0
49	0
201	9
1514	89
2220	176
542	99
1137	3
0	0
5	0
107	0
32	1
78	1
573	4
655	1
42	0
10	0
35	0
620	3
620	5
1	0
214	2
87	5
9	4
179	1
0	1176
1	38
374	0
3	0
200	0
17	0
113	0
1753	8
373	1
59	0
64	0
104	0
401	13
84	17
121	10
565	22
89	20
165	16
748	10
48	0
184	1
215	3
1182	1
