UniqueCount	AmbigCount
1080	7
3474	23
319	32
3593	58
2527	26
2854	20
353	3
3401	11
22	1
132	0
36	0
398	2
1962	16
4811	36
410	9
1415	8
1172	4
745	12
1563	36
947	36
588	17
720	3
28	0
0	0
0	0
0	10
23	287
0	0
0	0
0	0
0	0
0	0
0	0
66	0
31	0
82	0
0	0
369	4
0	0
0	0
1	0
214	1
2	0
35	11
0	287
1	0
1	0
0	7260
4	0
3	0
0	0
0	0
0	0
11	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	744
0	0
0	0
0	0
0	0
0	30
0	0
0	0
2	692
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
79	744
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
18	0
42	76
459	1
256	4
16	3
201	3
93	1
5	0
65	0
8641	40
37	0
0	0
0	0
23	0
3	0
0	0
21	0
5	0
5	0
16	0
27	0
1029	3
26	0
1024	21
542	18
795	6
142	3
16	0
5	1
43	0
219	1
471	4
29	4
831	3
72	0
151	0
35	0
15	0
0	0
10	0
238	0
73	2
117	0
323	1
0	0
55	0
121	0
502	8
14460	75
1535	16
88	76
3	0
10	0
36	1
178	7
106	6
229	1
300	2
185	0
1	0
213019	708
4	0
126	1
152	2
105	3
71	1
28	1
100	2
58	0
1	0
58	1
15	1
13	0
84	0
936	4
565	2
270	0
9804	72
58	1
1	1
5	0
8	0
19	0
11	1
9	2
9	2
7	2
7	0
43	0
0	0
0	0
3386	20
1804	12
1040	9
239	1
392	3
23	0
33	0
8	0
32	0
22	0
30	0
39	0
74	0
370	1
710	6
451	5
29	0
28	0
275	1
79	0
43277	578
20056	463
23912	248
12031	128
448	0
45	0
81	0
0	0
96	0
897	8
308	4
202	1
1096	12
3168	11
244	0
426	3
97	1
609	1
45	0
32	3
74	3
93	2
1	15
1177	10
192	2
36	1
175	2
71	0
625	5
10686	84
18073	105
37	0
3040	29
116	0
44	0
16	0
3	0
42	0
8	0
11	0
22	0
37	0
63	1
103	1
264	1
0	6763
393	0
55493	399
59752	239
52027	314
133328	812
1516	16
704	7
8293	68
304	12
688	19
233	15
746	23
624	13
237	6
56	2
39	1
1058	15
5441	39
2773	19
4148	35
3374	20
701	7
14729	85
16301	98
711	6
3257	4
2246	16
20078	144
43505	296
259	0
119	1
364	2
3	0
13	0
1928	9
21	3
19	2
40	0
1193	11
755	6
301	3
479	7
160	3
76	1
369	1
665	5
1017	5
232	3
23	0
88	0
794	16
779	22
187	4
413	1
5053	227
8028	216
46	1
15	0
34	0
7	0
6	0
33266	64
2146	20
46	1
250	13
198	19
223	8
1745	17
4	0
260	22
443	23
6270	40
1615	99
1491	97
1363	10
638	8
952	11
211	2
2115	13
195	1
26507	219
271	2
1087	7
88	2
178	7
69	9
305	4
346	3
2109	13
201	0
149	8
1576	17
60	1
81	0
131	2
112	0
242	1
404	4
67283	422
318	1
4703	34
3298	26
20	0
938	2
4	0
6	0
2229	33
266	11
412	25
1450	43
63	15
264	17
279	18
7509	46
80	0
92	1
193	1
960	7
107	0
382	4
474	2
925	3
532	13
880	17
108	0
7766	51
308	2
108	0
1061	7
1789	7
2439	17
795	3
967	10
437	11
228	16
216	9
105	3
318	4
796	17
1090	13
1118	10
1729	4
432	3
94	1
748	4
306	3
735	3
58632	458
176	104
3124	18
1074	6
1796	56
1189	53
401	4
1500	11
1887	5
500	1
1155	1
1085	10
7627	28
4	0
852	2
219	2
643	4
5194	39
319	8
21	6
980	7
682	9
66	0
3	1
11	0
392	1
209	4
162	1
849	6
1259	7
2615	30
385	1
2731	12
661	7
1727	8
373	8
381	30
36	23
20	0
9	0
507	2
140	2
82	5
49	3
47	3
41	4
40	2
43	2
324	12
513	14
6404	45
14	4557
284	2
1189	6
863	8
246	7
830	8
211	2
526	5
286	1
1890	4
1	0
4824	23
306	5
1027	10
471	12
4142	37
873	16
4	1
99	2
31	5
42	3
90	0
160	22
1980	34
44	0
245	0
279	4
2059	18
2029	7
340	12
267	10
456	3
604	4
582	7
1046	11
164	2
84	3
48574	321
6785	39
690	9
41	0
271	6
76	1
1315	4
3331	23
1133	19
900	31
524	48
292	32
2920	20
999	12
1231	14
659	7
9449	72
79	41
5969	99
1971	15
6	0
39505	1454
155521	2100
34340	336
35900	834
48899	938
74517	632
358	1
95	0
532	7
3874	43
977	10
17	3
10	3
0	0
12	0
0	0
0	0
65	1
8	0
31	0
63	0
253	5
416	2
133	0
11	0
320	3
249	2
180	1
30	1
29	0
59	0
423	3
637	7
130	0
101	0
30	10
12601	99
235	4
1203	14
1343	11
1069	14
1213	12
630	16
216	13
857	19
705	21
987	9
6	0
229	0
207	1
932	10
5266	117
3938	199
1057	98
4381	22
1	0
8	0
2011	14
353	7
305	4
2456	21
3197	16
316	2
60	1
598	11
3619	32
5160	25
3	0
1044	23
638	23
39	8
1295	12
0	6638
0	30
1992	17
31	0
706	9
163	1
470	2
6571	43
945	7
227	2
594	2
25	0
732	41
223	51
370	25
1154	55
114	39
207	22
2043	26
255	1
568	8
2644	21
4253	27
16	24
3	11
127	0
1218	2
23	0
511	5
103	0
7429	63
337	8
139	8
695	6
1250	16
2551	30
13546	101
1147	2
0	15
1647	14
1367	15
2570	16
1387	7
524982	2986
0	8071
251	0
1301	20
3299	17
9	0
86	1
45	2
54	5
37	1
207	2
585	4
15192	127
0	6697
5351	43
49	0
11123	69
1748	17
1970	4
335	0
58	1
467	9
1332	24
225	13
649	30
585	25
10	0
10	0
2	0
0	0
0	0
24	0
540	2
7	1
14	1
1	2
0	3
0	0
607	4
526	6
204	1
1548	14
1012	4
568	4
685	12
81	11
1368	19
15980	89
822	9
613	4
611	1
1608	32
234	25
2236	14
1419	8
69	2
23	0
2	0
18	0
116	0
0	0
63	1
915	3
1187	5
1030	42
1666	54
774	9
5447	29
595	2
99	0
100	0
3998	23
123	0
668	2
1118	10
216	1
288	3
2865	371
8398	574
22767	351
18362	180
1562	17
2203	13
280	2
579	8
169	4
24	14
193	13
634	7
959	16
322	13
99	7
719	10
693	9
146	2
398	11
605	8
6279	36
5	0
1799	7
609	5
2573	22
13519	1024
