UniqueCount	AmbigCount
157	1
327	1
75	5
381	8
702	14
760	12
102	0
381	1
6	0
5	0
4	0
378	1
441	4
2007	18
81	10
782	1
574	2
202	13
769	27
444	31
109	16
128	0
6	0
7	0
25	0
1	0
1	10
3	0
0	0
0	0
0	0
9	0
32	0
302	1
20	0
53	1
0	1
140	0
246	6
202	1
0	0
33	0
0	0
3	0
1	10
1	0
2	0
0	682
0	0
1	0
0	0
5	0
3	0
1	0
0	0
3	0
36	0
291	0
0	0
14	0
9	0
1	0
1	152
365	1
9757	25
1696	4
38075	122
0	16
8	0
0	0
9	133
2248	12
19	2
44	2
146	0
151	5
505	5
461	4
11	0
14	0
6	89
0	0
17	0
24	1
0	0
8	0
31	0
16	0
3	0
1	0
9	3
165	2
58	0
10	0
181	0
45	0
0	0
3	0
83	1
1	0
591	1
0	0
24	0
0	0
0	0
4	0
3	0
1	0
2	0
1	0
195	1
54	0
80	4
42	5
63	1
16	0
9	0
0	0
3	1
44	2
77	2
12	0
93	1
30	1
12	0
6	0
1	0
0	0
1	0
29	0
4	0
15	0
87	0
0	0
8	0
6	0
149	0
2298	9
273	1
10	3
0	0
4	0
7	0
49	2
28	1
31	0
37	0
7	0
0	0
8975	27
3	0
251	1
296	6
65	5
40	0
2	1
12	1
9	0
0	0
0	0
4	1
37	1
58	0
37	0
99	0
39	0
213	0
8	0
1	0
2	2
12	0
7	0
9	0
5	0
4	0
5	0
4	0
7	0
0	0
1	0
151	0
137	1
318	1
29	1
99	1
9	0
15	0
1	0
19	2
10	1
20	0
5	0
14	0
141	1
155	0
40	1
0	0
2	0
29	0
189	1
6970	60
5904	97
2919	82
2081	26
128	0
3	0
13	0
0	0
31	0
170	0
44	0
56	0
256	1
973	6
51	0
107	0
44	1
298	0
33	0
22	1
46	2
28	2
0	1
114	0
563	0
7	0
68	0
18	0
383	0
1117	6
1382	6
9	0
511	4
6	2
2	0
5	0
1	0
35	0
8	1
5	1
10	1
20	1
19	0
73	1
167	0
0	686
76	1
4436	71
7066	238
7231	186
39175	143
512	8
221	5
937	4
142	0
213	3
62	4
497	6
201	4
30	1
15	2
3	1
245	0
2186	8
562	1
337	2
562	3
77	0
6338	25
5177	17
107	4
573	4
1178	8
7213	26
13425	46
42	0
44	0
56	0
4	0
3	0
578	2
4	0
3	0
4	0
552	5
295	3
72	2
61	1
20	0
36	0
62	1
70	3
124	1
25	1
2	0
14	0
211	9
343	13
50	4
76	0
363	19
726	20
6	0
9	0
18	0
2	0
0	0
7177	8
499	3
30	0
21	1
15	1
49	0
206	1
0	0
75	9
116	8
728	3
